time	ARGin	ORN
0.0.	1.0	1.0
1.0.	163.27029979550588	6.170328459338818
2.0.	271.6111064087636	16.740862418425746
3.0.	357.4440992953812	29.353811408584566
4.0.	428.9000774399544	42.67595114410599
5.0.	490.02566415886395	56.058927175223886
6.0.	543.2659296944538	69.16602775479312
7.0.	590.2516395589317	81.82027699668105
8.0.	632.1394110053088	93.93231138052508
9.0.	669.78547004506	105.46284601945062
10.0.	703.8443017431312	116.40189051897218
11.0.	734.8289160423354	126.75671653114983
12.0.	763.1497138664641	136.54466247210385
13.0.	789.1406276901516	145.78872985915126
14.0.	813.0773063955295	154.5148465196069
15.0.	835.190122756525	162.75015235986416
16.0.	855.6736984213617	170.5219260059286
17.0.	874.6940204132718	177.85691981877827
18.0.	892.3938518594607	184.7809583323515
19.0.	908.8969094572162	191.31870796833783
20.0.	924.3111330123681	197.4935584975596
21.0.	938.7312757534366	203.32757727819975
22.0.	952.2409791791719	208.84151049302181
23.0.	964.9144516362433	214.05481420175562
24.0.	976.8178386800847	218.98570369716384
25.0.	988.0103511413514	223.65121343895672
26.0.	998.5452008566901	228.0672623895649
27.0.	1008.4703823487228	232.2487213059002
28.0.	1017.829330096039	236.20947972160513
29.0.	1026.6614745593617	239.96251116239065
30.0.	1035.002715228721	243.51993569098934
31.0.	1042.8858252095936	246.89307925742938
32.0.	1050.3407989753575	250.09252958869976
33.0.	1057.3951526644075	253.1281885263578
34.0.	1064.0741845365303	256.0093208367191
35.0.	1070.4012018096123	258.7445995936636
36.0.	1076.397718989064	261.3421482811538
37.0.	1082.0836319144337	263.8095797899625
38.0.	1087.47737103221	266.15403249695464
39.0.	1092.5960368238768	268.3822036198622
40.0.	1097.4555198456399	270.5003800388861
41.0.	1102.0706074489842	272.51446677077934
42.0.	1106.455078932396	274.43001327285396
43.0.	1110.621790610765	276.25223774463626
44.0.	1114.5827520698288	277.9860495844366
45.0.	1118.3491946900424	279.6360701473901
46.0.	1121.9316333709849	281.20665194091026
47.0.	1125.3399222584335	282.7018963832117
48.0.	1128.5833051673624	284.1256702407294
49.0.	1131.670461301809	285.4816208509886
50.0.	1134.6095467941152	286.773190228787
51.0.	1137.4082325190836	288.00362814547555
52.0.	1140.0737385813127	289.1760042636325
53.0.	1142.612865824791	290.29321940252737
54.0.	1145.0320246714919	291.3580160034177
55.0.	1147.3372615591632	292.3729878578965
56.0.	1149.534283216865	293.3405891571669
57.0.	1151.6284789893493	294.26314291523875
58.0.	1153.6249413974788	295.1428488145743
59.0.	1155.5284851010488	295.9817905186363
60.0.	1157.343664412163	296.7819424920667
61.0.	1159.0747894913272	297.54517636582614
62.0.	1160.7259413444556	298.2732668815316
63.0.	1162.3009857265836	298.9678974463918
64.0.	1163.8035860472792	299.6306653275703
65.0.	1165.2372153630727	300.26308651244057
66.0.	1166.605167533745	300.86660025906224
67.0.	1167.9105676117872	301.44257335923044
68.0.	1169.1563815275977	301.9923041346697
69.0.	1170.345425127058	302.51702618530317
70.0.	1171.4803726127757	303.0179119070296
71.0.	1172.5637644355672	303.496075795074
72.0.	1173.598014678466	303.952577547729
73.0.	1174.5854179717596	304.38842498415545
74.0.	1175.5281559741318	304.80457678885983
75.0.	1176.4283034519199	305.20194509451113
76.0.	1177.2878339857282	305.58139791387316
77.0.	1178.1086253311537	305.94376143082565
78.0.	1178.8924644581314	306.28982215970103
79.0.	1179.6410522913695	306.6203289814855
80.0.	1180.3560081725102	306.9359950648084
81.0.	1181.0388740629853	307.23749967906787
82.0.	1181.6911185050292	307.5254899065108
83.0.	1182.3141403569216	307.8005822596024
84.0.	1182.9092723173092	308.0633642095653
85.0.	1183.477784252291	308.314395631567
86.0.	1184.020886337937	308.55421017163843
87.0.	1184.5397320299446	308.7833165400694
88.0.	1185.0354208712877	309.00219973569295
89.0.	1185.509001147913	309.21132220517615
90.0.	1185.9614724018154	309.4111249411553
91.0.	1186.3937878101572	309.60202852280054
92.0.	1186.8068564384912	309.78443410215317
93.0.	1187.2015453755826	309.9587243393668
94.0.	1187.5786817568137	310.1252642897717
95.0.	1187.9390546826755	310.2844022455012
96.0.	1188.283417038416	310.43647053423916
97.0.	1188.6124872205114	310.5817862774877
98.0.	1188.9269507752567	310.7206521106021
99.0.	1189.2274619544216	310.85335686670237
100.0.	1189.5146451926037	310.9801762264363
